"id","classification","score","title","description","topic_id","created_at","updated_at","privacy_related","docbot_regex"
137,"good",50,"You are free to choose the type of copyright license that you want to use over your content","You have the right to choose or change the copyright license over content you publish through the Service.",55,"2018-01-16 15:26:08.583951","2021-05-06 08:37:48.176844",NULL,""
214,"bad",20,"You must provide your legal name, pseudonyms are not allowed","You must provide your legal name and pseudonyms aren't allowed. This case doesn't apply to Services for which transparency regarding users identities is relevant for their purposes.",26,"2018-01-16 15:26:10.305929","2021-02-25 18:48:05.605459",NULL,""
222,"good",10,"You can choose the copyright license","You have the right to choose or change the license over content you publish through the Service.",34,"2018-01-16 15:26:10.522244","2021-02-27 16:19:55.044532",NULL,""
143,"neutral",25,"This service is only available for use individually and non-commercially.","Users can't use the Service for commercial purposes (unless the Service consents): it is only for personal, individual purposes.",31,"2018-01-16 15:26:08.727572","2021-03-27 16:39:13.716893",NULL,"^((?=.*individual)|(?=.*personal))((?=.*non\-commercial)|(?=.*noncommercial))"
141,"bad",10,"Inconvenient process for obtaining personal data","This applies to cases where obtaining personal data requires sending a written letter by mail or is otherwise more complicated and time consuming than necessary.",34,"2018-01-16 15:26:08.695809","2021-03-15 19:38:02.904264",True,""
227,"good",30,"Information is provided about how your personal data is used","The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",36,"2018-01-16 15:26:10.619333","2021-05-06 08:00:39.315952",NULL,""
220,"bad",40,"Your personal data is used to employ targeted third-party advertising","Your Personal Information is traded and shared with advertising companies to target ads on you, either on the website you were visiting or in third party websites. Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile.",57,"2018-01-16 15:26:10.45235","2021-05-06 08:29:30.145481",True,""
127,"bad",5,"Third party cookies are employed, but with opt out instructions","",25,"2018-01-16 15:26:08.335897","2021-05-06 08:26:54.57265",NULL,""
213,"neutral",10,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.","You must provide your legal name and pseudonyms aren't allowed, but it makes sense for the purposes of this service.",26,"2018-01-16 15:26:10.275878","2021-05-06 08:42:16.902004",NULL,""
212,"neutral",0,"Pseudonyms are allowed due to the service's billing policies","",55,"2018-01-16 15:26:10.23482","2021-05-06 08:50:20.988579",NULL,""
231,"good",40,"You are informed about the risk of publishing personal info online","",36,"2018-01-16 15:26:10.686705","2021-05-06 08:37:31.235093",NULL,""
277,"neutral",50,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance","When you're not logged in to a service, but use it repeatedly, it may still feel weird that their terms and conditions can change between one use and the next. However, this does not violate the rule-of-thumb that each new version should be accepted from scratch, without inferring your acceptance from the acceptance of an earlier version. Since no acceptance is inferred from continued use, but only from current use, we rate this as neutral instead of bad.",46,"2018-08-21 09:47:56.311778","2019-04-10 09:43:47.943088",NULL,NULL
285,"bad",25,"You shall not interfere with another person's enjoyment of the service","Users are asked not to interfere with another person't enjoyment in using the service.
However, this statement is very vague and open to interpretation by the service itself.",52,"2018-08-24 05:31:18.691665","2021-05-06 08:40:39.091694",NULL,"^((?=.*interfere)|(?=.*inhibit)|(?=.*disrupt)|(?=.*restrict))((?=.*enjoy)|(?=.*experience))"
278,"neutral",50,"The service is not responsible for linked or (clearly) quoted content from third-party content providers","",32,"2018-08-22 10:01:05.829395","2018-08-22 10:01:05.829395",NULL,NULL
284,"neutral",20,"You are prohibited from attempting to gain unauthorized access to other computer systems","The service does not allow any attempts at hacking or otherwise gaining unauthorized access to other users' computers.",31,"2018-08-24 05:24:43.733394","2021-05-06 08:43:17.982925",NULL,"^((?=.*unauthorized)(?=.*computer))"
184,"good",30,"This service provides a way for you to export your data","",55,"2018-01-16 15:26:09.635322","2021-03-27 16:43:51.863097",NULL,"^((?=.*portability)|(?=.*copy of your information)|(?=.*copy of your personal))"
195,"good",50,"You can request access, correction and/or deletion of your data","Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",34,"2018-01-16 15:26:09.802002","2021-03-15 19:39:19.351488",True,""
200,"neutral",0,"Separate policies are employed for different parts of the service","The user may need to read additional product-specific agreements depending on the way the service is used.",36,"2018-01-16 15:26:09.894815","2021-05-14 12:48:24.40724",NULL,""
230,"neutral",25,"You must create an account to use this service","You must provide the service with your information in order to use it",36,"2018-01-16 15:26:10.674031","2021-05-14 14:37:23.623179",True,""
192,"good",50,"IP addresses of website visitors are not tracked","The Service disclaims that IP adresses from users are not collected (or anonymized) nor shared.",56,"2018-01-16 15:26:09.755556","2021-05-31 20:20:49.018415",True,"^((((?=.*do not)|(?=.*don't)|(?=.*does not))((?=.*collect)|(?=.*store)|(?=.*keep)|(?=.*record))|(?=.*anonymized))(?=.* IP ))"
201,"bad",60,"Your account can be deleted without prior notice and without a reason","At any time, your account can be terminated without explanation and without warning by the service. ",47,"2018-01-16 15:26:09.915249","2021-05-31 20:24:53.827907",NULL,"^(((?=.*account)|(?=.*membership)|(?=.*access))((?=.*terminate)|(?=.*close)|(?=.*cancel)|(?=.*right to disable))(((?!.*third parties)(?!.*license fee))|((?=.*at any time))))"
159,"good",30,"You will be notified about website maintenance","Users will be notified before their experience is impacted due to website maintenance.",32,"2018-01-16 15:26:09.118286","2021-05-06 08:14:33.371274",NULL,""
328,"bad",20,"Usernames can be rejected or changed for any reason","The service's terms explain they may change or remove usernames at their sole discretion, and they may do so without prior notice.",47,"2018-09-04 13:43:38.325222","2021-03-27 16:58:50.18587",NULL,"^((?=.*username)|(?=.*user name)|(?=.*user ID))((?=.refuse)|(?=.reject)|(?=.remove)|(?=.disable)|(?=.cancel)|(?=.change))"
167,"good",50,"Third parties are not allowed to access your personal information without a legal basis","",28,"2018-01-16 15:26:09.258554","2021-05-06 08:03:57.813988",NULL,""
205,"neutral",15,"Your account can be suspended for several reasons","",47,"2018-01-16 15:26:09.988104","2021-05-06 08:05:24.939122",NULL,""
